111;2020.10.18 11:15;4;10.75;10.6875;10.25;3339;202;0
112;2020.10.18 11:30;4;10.75;10.75;10.125;3338;202;0
113;2020.10.18 11:45;4;10.75;10.75;10.375;3338;202;0
114;2020.10.18 12:00;4;10.75;10.875;10.5;3338;202;0
115;2020.10.18 12:15;4;10.75;10.9375;10.5;3338;202;0
116;2020.10.18 12:30;4;10.75;10.875;10.375;3338;202;0
117;2020.10.18 12:45;4;10.8125;10.6875;9.875;3338;202;0
118;2020.10.18 13:00;4;10.8125;10.625;10;3338;202;0
119;2020.10.18 13:15;4;10.8125;10.625;10;3338;202;0
120;2020.10.18 13:30;4;10.875;10.625;10;3338;202;0
121;2020.10.18 13:45;4;10.875;10.625;10.0625;3338;202;0
122;2020.10.18 14:00;4;10.875;10.625;9.9375;3338;202;0
123;2020.10.18 14:15;4;10.875;10.5;9.875;3338;202;0
124;2020.10.18 14:30;4;10.875;10.375;9.5;3337;202;0
125;2020.10.18 14:45;4;10.875;10.25;9.125;3337;202;0
126;2020.10.18 15:00;4;10.875;10.125;9;3337;202;0
127;2020.10.18 15:15;4;10.875;10;8.8125;3337;202;0
128;2020.10.18 15:30;4;10.875;9.8125;8.25;3337;202;0
129;2020.10.18 15:45;4;10.875;9.625;8;3336;202;0
130;2020.10.18 16:00;4;10.875;9.375;7.375;3336;202;0
131;2020.10.18 16:15;4;10.9375;9.25;7.1875;3336;202;0
132;2020.10.18 16:30;4;10.9375;9.125;7.125;3336;202;0
